Race,Driver,Bet placed,Driver race outcome,Implied probability,Estimated probability,Expected value,Bet outcome,Units won,Net units won
Canadian,Mick Schumacher,Odds to Finish Top Ten,\N,0.16666666666666666,0.24493987657488073,0.4696392594492844,0,0.0,-1.0
Canadian,Zhou Guanyu,Odds to Finish Top Three,8,0.006622516556291391,0.013146538765996528,0.9851273536654757,0,0.0,-1.0
Canadian,Zhou Guanyu,Odds to Finish Top Six,8,0.03225806451612903,0.07012559527424403,1.1738934535015648,0,0.0,-1.0
Canadian,Zhou Guanyu,Odds to Finish Top Ten,8,0.20833333333333334,0.27497815904081513,0.3198951633959126,1,4.8,3.8
Canadian,Alexander Albon,Odds to Finish Top Three,13,0.0033222591362126247,0.010216652555237203,2.075212419126398,0,0.0,-1.0
Canadian,Alexander Albon,Odds to Finish Top Six,13,0.015151515151515152,0.0706061088295634,3.6600031827511845,0,0.0,-1.0
Canadian,Alexander Albon,Odds to Finish Top Ten,13,0.15384615384615385,0.20226805099676448,0.314742331478969,0,0.0,-1.0
Canadian,Nicholas Latifi,Odds to Finish Top Three,16,0.001996007984031936,0.002039159067252628,0.021618692693566643,0,0.0,-1.0
Canadian,Nicholas Latifi,Odds to Finish Top Six,16,0.006622516556291391,0.02598498167162973,2.923732232416089,0,0.0,-1.0
Canadian,Nicholas Latifi,Odds to Finish Top Ten,16,0.043478260869565216,0.1716844561644139,2.94874249178152,0,0.0,-1.0
Azerbaijan,Max Verstappen,Odds to Finish Top Six,1,0.8333333333333334,0.895126371036166,0.07415164524339923,1,1.2,0.19999999999999996
Azerbaijan,Max Verstappen,Odds to Finish Top Ten,1,0.875,0.924522064260137,0.05659664486872806,1,1.1428571428571428,0.1428571428571428
Azerbaijan,Charles Leclerc,Odds to Finish Top Six,\N,0.8181818181818182,0.8549446571025723,0.0449323586809216,0,0.0,-1.0
Azerbaijan,Charles Leclerc,Odds to Finish Top Ten,\N,0.875,0.9156483903386853,0.046455303244211654,0,0.0,-1.0
Azerbaijan,Sergio Perez,Odds to Win,2,0.15384615384615385,0.2369641694295702,0.5402671012922062,0,0.0,-1.0
Azerbaijan,Sergio Perez,Odds to Finish Top Three,2,0.5833333333333334,0.6684127272299911,0.14585038953712748,1,1.7142857142857142,0.7142857142857142
Azerbaijan,Sergio Perez,Odds to Finish Top Six,2,0.8,0.8754281866858945,0.09428523335736805,1,1.25,0.25
Azerbaijan,Sergio Perez,Odds to Finish Top Ten,2,0.8666666666666667,0.9539381785925367,0.10069789837600385,1,1.1538461538461537,0.15384615384615374
Azerbaijan,Carlos Sainz,Odds to Win,\N,0.08333333333333333,0.0910623574529877,0.09274828943585245,0,0.0,-1.0
Azerbaijan,Carlos Sainz,Odds to Finish Top Three,\N,0.46511627906976744,0.4721010682463952,0.015017296729749718,0,0.0,-1.0
Azerbaijan,Carlos Sainz,Odds to Finish Top Six,\N,0.782608695652174,0.7924652849658608,0.012594530789710845,0,0.0,-1.0
Azerbaijan,Carlos Sainz,Odds to Finish Top Ten,\N,0.8666666666666667,0.8993816329249466,0.037748037990323,0,0.0,-1.0
Azerbaijan,George Russell,Odds to Win,3,0.038461538461538464,0.0533066790019404,0.38597365405045037,0,0.0,-1.0
Azerbaijan,George Russell,Odds to Finish Top Three,3,0.25,0.2687221121812436,0.07488844872497435,1,4.0,3.0
Azerbaijan,Lewis Hamilton,Odds to Win,4,0.027777777777777776,0.0301770833824172,0.08637500176701929,0,0.0,-1.0
Azerbaijan,Fernando Alonso,Odds to Win,7,0.00398406374501992,0.0052920535073432,0.3283054303431432,0,0.0,-1.0
Azerbaijan,Daniel Ricciardo,Odds to Finish Top Three,8,0.024390243902439025,0.0305008541773608,0.2505350212717927,0,0.0,-1.0
Azerbaijan,Daniel Ricciardo,Odds to Finish Top Six,8,0.14285714285714285,0.19635868008033008,0.3745107605623106,0,0.0,-1.0
Azerbaijan,Daniel Ricciardo,Odds to Finish Top Ten,8,0.46511627906976744,0.4819649614912336,0.03622466720615214,1,2.15,1.15
Azerbaijan,Pierre Gasly,Odds to Win,5,0.0033222591362126247,0.0067245449045462,1.024088016268406,0,0.0,-1.0
Azerbaijan,Pierre Gasly,Odds to Finish Top Three,5,0.03225806451612903,0.0660155530701037,1.046482145173215,0,0.0,-1.0
Azerbaijan,Pierre Gasly,Odds to Finish Top Six,5,0.14285714285714285,0.2445200969906467,0.7116406789345269,1,7.0,6.0
Azerbaijan,Yuki Tsunoda,Odds to Finish Top Three,13,0.009900990099009901,0.0153533323499602,0.5506865673459802,0,0.0,-1.0
Azerbaijan,Yuki Tsunoda,Odds to Finish Top Six,13,0.06666666666666667,0.12739534393570962,0.9109301590356442,0,0.0,-1.0
Azerbaijan,Sebastian Vettel,Odds to Win,6,0.001996007984031936,0.0035730026266092,0.7900743159312094,0,0.0,-1.0
Azerbaijan,Sebastian Vettel,Odds to Finish Top Three,6,0.015151515151515152,0.028600882804590298,0.8876582651029596,0,0.0,-1.0
Azerbaijan,Sebastian Vettel,Odds to Finish Top Six,6,0.08333333333333333,0.1739774569288605,1.087729483146326,1,12.0,11.0
Azerbaijan,Zhou Guanyu,Odds to Finish Top Six,\N,0.03225806451612903,0.04533969614599699,0.40553058052590685,0,0.0,-1.0
Azerbaijan,Zhou Guanyu,Odds to Finish Top Ten,\N,0.18181818181818182,0.2683089169121525,0.47569904301683863,0,0.0,-1.0
Azerbaijan,Alexander Albon,Odds to Finish Top Six,12,0.0196078431372549,0.03804982427840921,0.9405410381988697,0,0.0,-1.0
Azerbaijan,Alexander Albon,Odds to Finish Top Ten,12,0.15384615384615385,0.172088793703364,0.11857715907186583,0,0.0,-1.0
Azerbaijan,Nicholas Latifi,Odds to Finish Top Six,15,0.006622516556291391,0.02551903614669274,2.8533744581506038,0,0.0,-1.0
Azerbaijan,Nicholas Latifi,Odds to Finish Top Ten,15,0.043478260869565216,0.18310001854354085,3.21130042650144,0,0.0,-1.0
British,Max Verstappen,Odds to Finish Top Three,7,0.782608695652174,0.8674963393848847,0.10846754476957488,0,0.0,-1.0
British,Max Verstappen,Odds to Finish Top Six,7,0.8461538461538461,0.9402441908968356,0.11119768015080567,0,0.0,-1.0
British,Max Verstappen,Odds to Finish Top Ten,7,0.8571428571428571,0.9524143751368016,0.1111501043262686,1,1.1666666666666667,0.16666666666666674
British,Charles Leclerc,Odds to Finish Top Ten,4,0.8461538461538461,0.8543614525772965,0.009699898500441284,1,1.1818181818181819,0.18181818181818188
British,Sergio Perez,Odds to Win,2,0.08333333333333333,0.1228627433186665,0.4743529198239982,0,0.0,-1.0
British,Sergio Perez,Odds to Finish Top Three,2,0.5238095238095238,0.5847441189371942,0.11632968160737067,1,1.909090909090909,0.909090909090909
British,Sergio Perez,Odds to Finish Top Six,2,0.75,0.8311094655650489,0.108145954086732,1,1.3333333333333333,0.33333333333333326
British,Sergio Perez,Odds to Finish Top Ten,2,0.8333333333333334,0.9217333043656181,0.10607996523874164,1,1.2,0.19999999999999996
British,Carlos Sainz,Odds to Win,1,0.05263157894736842,0.2128050956360524,3.043296817084996,1,19.0,18.0
British,Carlos Sainz,Odds to Finish Top Three,1,0.5348837209302325,0.6347260105354706,0.18666167187066263,1,1.8695652173913044,0.8695652173913044
British,Carlos Sainz,Odds to Finish Top Six,1,0.75,0.8930303038899621,0.19070707185328284,1,1.3333333333333333,0.33333333333333326
British,Carlos Sainz,Odds to Finish Top Ten,1,0.8181818181818182,0.9494577393240631,0.16044834806274366,1,1.222222222222222,0.2222222222222221
British,Lando Norris,Odds to Win,6,0.009900990099009901,0.0208867249611329,1.1095592210744232,0,0.0,-1.0
British,Lando Norris,Odds to Finish Top Three,6,0.06666666666666667,0.15806817995997802,1.3710226993996701,0,0.0,-1.0
British,Fernando Alonso,Odds to Win,5,0.006622516556291391,0.0236286703627058,2.5679292247685757,0,0.0,-1.0
British,Fernando Alonso,Odds to Finish Top Three,5,0.047619047619047616,0.0952175270932882,0.9995680689590525,0,0.0,-1.0
British,Yuki Tsunoda,Odds to Finish Top Six,14,0.05263157894736842,0.058343923488714894,0.10853454628558312,0,0.0,-1.0
British,Zhou Guanyu,Odds to Finish Top Three,\N,0.004975124378109453,0.018836944314783916,2.786225807271567,0,0.0,-1.0
British,Zhou Guanyu,Odds to Finish Top Six,\N,0.047619047619047616,0.08885649297295312,0.8659863524320155,0,0.0,-1.0
British,Alexander Albon,Odds to Finish Top Six,\N,0.015151515151515152,0.036374768772651805,1.4007347389950189,0,0.0,-1.0
British,Alexander Albon,Odds to Finish Top Ten,\N,0.15384615384615385,0.15728514532237642,0.022353444595446748,0,0.0,-1.0
British,Nicholas Latifi,Odds to Finish Top Three,12,0.001996007984031936,0.01708654421972616,7.5603586540828065,0,0.0,-1.0
British,Nicholas Latifi,Odds to Finish Top Six,12,0.004975124378109453,0.08403640940603076,15.891318290612183,0,0.0,-1.0
British,Nicholas Latifi,Odds to Finish Top Ten,12,0.043478260869565216,0.2803853794491957,5.448863727331502,0,0.0,-1.0
Spanish,Max Verstappen,Odds to Finish Top Three,1,0.7297297297297297,0.7621271074121441,0.04439640645367904,1,1.3703703703703705,0.37037037037037046
Spanish,Max Verstappen,Odds to Finish Top Six,1,0.7916666666666666,0.8813721675453079,0.11331221163617844,1,1.2631578947368423,0.26315789473684226
Spanish,Max Verstappen,Odds to Finish Top Ten,1,0.8461538461538461,0.9126685367523074,0.07860827070727239,1,1.1818181818181819,0.18181818181818188
Spanish,Charles Leclerc,Odds to Finish Top Six,\N,0.8,0.8497538693836698,0.06219233672958713,0,0.0,-1.0
Spanish,Charles Leclerc,Odds to Finish Top Ten,\N,0.8461538461538461,0.9037453843351941,0.06806272694159299,0,0.0,-1.0
Spanish,Carlos Sainz,Odds to Win,4,0.07142857142857142,0.1287167859287297,0.8020350030022159,0,0.0,-1.0
Spanish,Carlos Sainz,Odds to Finish Top Six,4,0.75,0.8045304103919841,0.07270721385597878,1,1.3333333333333333,0.33333333333333326
Spanish,Carlos Sainz,Odds to Finish Top Ten,4,0.7916666666666666,0.8907955713317688,0.12521545852433968,1,1.2631578947368423,0.26315789473684226
Spanish,Sergio Perez,Odds to Win,2,0.05263157894736842,0.0699844085307829,0.3297037620848753,0,0.0,-1.0
Spanish,Sergio Perez,Odds to Finish Top Ten,2,0.7916666666666666,0.853896258624123,0.07860580036731335,1,1.2631578947368423,0.26315789473684226
Spanish,Lewis Hamilton,Odds to Win,5,0.034482758620689655,0.0504654847991169,0.46349905917439016,0,0.0,-1.0
Spanish,George Russell,Odds to Win,3,0.034482758620689655,0.08136127860474,1.3594770795374602,0,0.0,-1.0
Spanish,George Russell,Odds to Finish Top Three,3,0.19607843137254902,0.3122621460631675,0.5925369449221543,1,5.1,4.1
Spanish,George Russell,Odds to Finish Top Ten,3,0.7674418604651163,0.8252117992835412,0.07527598088461418,1,1.303030303030303,0.303030303030303
Spanish,Daniel Ricciardo,Odds to Finish Top Three,12,0.043478260869565216,0.0608042060933776,0.39849674014768466,0,0.0,-1.0
Spanish,Daniel Ricciardo,Odds to Finish Top Six,12,0.25,0.2591645749956466,0.036658299982586406,0,0.0,-1.0
Spanish,Daniel Ricciardo,Odds to Finish Top Ten,12,0.4444444444444444,0.5167484937534716,0.1626841109453112,0,0.0,-1.0
Spanish,Zhou Guanyu,Odds to Finish Top Six,\N,0.03225806451612903,0.03406138310841274,0.05590287636079494,0,0.0,-1.0
Spanish,Mick Schumacher,Odds to Finish Top Six,14,0.043478260869565216,0.06043604770056475,0.3900290971129894,0,0.0,-1.0
Spanish,Alexander Albon,Odds to Finish Top Six,18,0.030303030303030304,0.030322834672197735,0.0006535441825252786,0,0.0,-1.0
Spanish,Lance Stroll,Odds to Finish Top Six,15,0.030303030303030304,0.032333124135023754,0.06699309645578388,0,0.0,-1.0
Spanish,Yuki Tsunoda,Odds to Finish Top Six,10,0.05263157894736842,0.058835318503040815,0.11787105155777544,0,0.0,-1.0
Spanish,Nicholas Latifi,Odds to Finish Top Six,16,0.009900990099009901,0.019014358755350035,0.9204502342903536,0,0.0,-1.0
Spanish,Nicholas Latifi,Odds to Finish Top Ten,16,0.05263157894736842,0.1590231085234503,2.0214390619455562,0,0.0,-1.0
Spanish,Sebastian Vettel,Odds to Finish Top Six,11,0.030303030303030304,0.06358553779544569,1.098322747249708,0,0.0,-1.0
Australian,Sergio Perez,Odds to Win,2,0.058823529411764705,0.1417302708050052,1.4094146036850885,0,0.0,-1.0
Australian,Lewis Hamilton,Odds to Win,4,0.05263157894736842,0.0946938977757731,0.7991840577396889,0,0.0,-1.0
Australian,George Russell,Odds to Win,3,0.034482758620689655,0.0392769622024659,0.1390319038715111,0,0.0,-1.0
Australian,Lando Norris,Odds to Win,5,0.0070921985815602835,0.0398321844086466,4.616338001619171,0,0.0,-1.0
Australian,Lando Norris,Odds to Finish Top Three,5,0.047619047619047616,0.1598382917540255,2.3566041268345357,0,0.0,-1.0
Australian,Lando Norris,Odds to Finish Top Six,5,0.09090909090909091,0.30291023330071765,2.332012566307894,1,11.0,10.0
Australian,Nicholas Latifi,Odds to Finish Top Six,16,0.009900990099009901,0.015151559839536683,0.530307543793205,0,0.0,-1.0
Australian,Nicholas Latifi,Odds to Finish Top Ten,16,0.043478260869565216,0.11615797262919139,1.671633370471402,0,0.0,-1.0
Australian,Sebastian Vettel,Odds to Finish Top Six,\N,0.014084507042253521,0.04474406287522266,2.176828464140809,0,0.0,-1.0
Australian,Daniel Ricciardo,Odds to Finish Top Three,6,0.034482758620689655,0.0524572427614323,0.5212600400815368,0,0.0,-1.0
Australian,Daniel Ricciardo,Odds to Finish Top Six,6,0.058823529411764705,0.1710761216956963,1.9082940688268373,1,17.0,16.0
Australian,Daniel Ricciardo,Odds to Finish Top Ten,6,0.2702702702702703,0.3308330741092048,0.22408237420405785,1,3.6999999999999997,2.6999999999999997
Hungarian,Charles Leclerc,Odds to Finish Top Ten,6,0.8461538461538461,0.8757769913544444,0.035009171600707045,1,1.1818181818181819,0.18181818181818188
Hungarian,Carlos Sainz,Odds to Win,4,0.13333333333333333,0.1785959416729309,0.3394695625469819,0,0.0,-1.0
Hungarian,Carlos Sainz,Odds to Finish Top Three,4,0.5833333333333334,0.6225190714633535,0.06717555108003448,0,0.0,-1.0
Hungarian,Carlos Sainz,Odds to Finish Top Six,4,0.8181818181818182,0.8890656145263625,0.08663575108777621,1,1.222222222222222,0.2222222222222221
Hungarian,Carlos Sainz,Odds to Finish Top Ten,4,0.8461538461538461,0.9454326464688321,0.11732949128134695,1,1.1818181818181819,0.18181818181818188
Hungarian,Lewis Hamilton,Odds to Finish Top Ten,2,0.8333333333333334,0.8385837237742125,0.006300468529055081,1,1.2,0.19999999999999996
Hungarian,George Russell,Odds to Win,3,0.038461538461538464,0.17244837822975,3.4836578339735,0,0.0,-1.0
Hungarian,George Russell,Odds to Finish Top Three,3,0.3448275862068966,0.4309789118556847,0.24983884438148563,1,2.9,1.9
Hungarian,George Russell,Odds to Finish Top Six,3,0.8,0.8042404377139827,0.005300547142478296,1,1.25,0.25
Hungarian,George Russell,Odds to Finish Top Ten,3,0.8333333333333334,0.9448940291269105,0.1338728349522924,1,1.2,0.19999999999999996
Hungarian,Fernando Alonso,Odds to Win,8,0.004975124378109453,0.0379670102156576,6.631369053347178,0,0.0,-1.0
Hungarian,Fernando Alonso,Odds to Finish Top Three,8,0.004524886877828055,0.11957476001548639,25.42602196342249,0,0.0,-1.0
Hungarian,Lando Norris,Odds to Win,7,0.004975124378109453,0.0476919857903638,8.586089143863123,0,0.0,-1.0
Hungarian,Lando Norris,Odds to Finish Top Three,7,0.043478260869565216,0.2195557036999064,4.049781185097848,0,0.0,-1.0
Hungarian,Lando Norris,Odds to Finish Top Six,7,0.47619047619047616,0.5317675238418682,0.11671180006792325,0,0.0,-1.0
Hungarian,Daniel Ricciardo,Odds to Finish Top Three,15,0.024390243902439025,0.042016147047846,0.7226620289616861,0,0.0,-1.0
Hungarian,Daniel Ricciardo,Odds to Finish Top Six,15,0.16666666666666666,0.24424096644319002,0.46544579865914026,0,0.0,-1.0
Hungarian,Esteban Ocon,Odds to Win,9,0.0033222591362126247,0.0136114803160277,3.0970555751243376,0,0.0,-1.0
Hungarian,Esteban Ocon,Odds to Finish Top Three,9,0.027777777777777776,0.10853449957323419,2.907241984636431,0,0.0,-1.0
Hungarian,Esteban Ocon,Odds to Finish Top Six,9,0.25,0.39587595418348176,0.583503816733927,0,0.0,-1.0
Hungarian,Esteban Ocon,Odds to Finish Top Ten,9,0.6363636363636364,0.647492610961012,0.017488388653018827,1,1.5714285714285714,0.5714285714285714
Hungarian,Valtteri Bottas,Odds to Finish Top Three,20,0.017857142857142856,0.0405852953797595,1.2727765412665324,0,0.0,-1.0
Hungarian,Valtteri Bottas,Odds to Finish Top Six,20,0.125,0.1619344703545638,0.29547576283651034,0,0.0,-1.0
