Race,Driver,Bet placed,Driver race outcome,Implied probability,Estimated probability,Expected value,Bet outcome,Units won,Net units won
UnitedStates,Daniel Ricciardo,Odds to Finish Top Six,16,0.2,0.28571428572,0.42857142859999997,0,0,-1
UnitedStates,Daniel Ricciardo,Odds to Finish Top Ten,16,0.47619047619047616,0.4761904762000001,2.0000223699412345e-11,0,0,-1
UnitedStates,Lance Stroll,Odds to Win,\N,0.0011098779134295228,0.04761904762,41.90476190562,0,0,-1
UnitedStates,Lance Stroll,Odds to Finish Top Three,\N,0.009900990099009901,0.14285714286,13.42857142886,0,0,-1
UnitedStates,Lance Stroll,Odds to Finish Top Six,\N,0.05263157894736842,0.28571428572,4.428571428680001,0,0,-1
UnitedStates,Lance Stroll,Odds to Finish Top Ten,\N,0.37735849056603776,0.4761904762000001,0.2619047619300001,0,0,-1
UnitedStates,Zhou Guanyu,Odds to Win,12,0.0011098779134295228,0.04761904762,41.90476190562,0,0,-1
UnitedStates,Zhou Guanyu,Odds to Finish Top Three,12,0.006622516556291391,0.14285714286,20.57142857186,0,0,-1
UnitedStates,Zhou Guanyu,Odds to Finish Top Six,12,0.034482758620689655,0.28571428572,7.285714285880001,0,0,-1
UnitedStates,Zhou Guanyu,Odds to Finish Top Ten,12,0.26666666666666666,0.4761904762000001,0.7857142857500004,0,0,-1
UnitedStates,Mick Schumacher,Odds to Win,15,0.0011098779134295228,0.04761904762,41.90476190562,0,0,-1
UnitedStates,Mick Schumacher,Odds to Finish Top Three,15,0.007633587786259542,0.14285714286,17.71428571466,0,0,-1
UnitedStates,Mick Schumacher,Odds to Finish Top Six,15,0.038461538461538464,0.28571428572,6.42857142872,0,0,-1
UnitedStates,Mick Schumacher,Odds to Finish Top Ten,15,0.2,0.4761904762000001,1.3809523810000002,0,0,-1
UnitedStates,Nicholas Latifi,Odds to Win,17,0.0011098779134295228,0.04761904762,41.90476190562,0,0,-1
UnitedStates,Nicholas Latifi,Odds to Finish Top Three,17,0.00398406374501992,0.14285714286,34.857142857860005,0,0,-1
UnitedStates,Nicholas Latifi,Odds to Finish Top Six,17,0.009900990099009901,0.28571428572,27.85714285772,0,0,-1
UnitedStates,Nicholas Latifi,Odds to Finish Top Ten,17,0.07692307692307693,0.4761904762000001,5.190476190600001,0,0,-1
UnitedStates,Yuki Tsunoda,Odds to Win,10,0.0011098779134295228,0.04761904762,41.90476190562,0,0,-1
UnitedStates,Yuki Tsunoda,Odds to Finish Top Three,10,0.009900990099009901,0.14285714286,13.42857142886,0,0,-1
UnitedStates,Yuki Tsunoda,Odds to Finish Top Six,10,0.05263157894736842,0.28571428572,4.428571428680001,0,0,-1
UnitedStates,Yuki Tsunoda,Odds to Finish Top Ten,10,0.3076923076923077,0.4761904762000001,0.5476190476500002,0,0,-1
UnitedStates,Alexander Albon,Odds to Win,13,0.0011098779134295228,0.04761904762,41.90476190562,0,0,-1
UnitedStates,Alexander Albon,Odds to Finish Top Three,13,0.007633587786259542,0.14285714286,17.71428571466,0,0,-1
UnitedStates,Alexander Albon,Odds to Finish Top Six,13,0.027777777777777776,0.28571428572,9.285714285920001,0,0,-1
UnitedStates,Alexander Albon,Odds to Finish Top Ten,13,0.2222222222222222,0.4761904762000001,1.1428571429000005,0,0,-1
Canadian,George Russell,Odds to Win,4,0.03225806451612903,0.04761904762,0.47619047622,0,0,-1
Canadian,Lewis Hamilton,Odds to Win,3,0.027777777777777776,0.04761904762,0.7142857143200001,0,0,-1
Canadian,Lando Norris,Odds to Win,15,0.009900990099009901,0.04761904762,3.80952380962,0,0,-1
Canadian,Lando Norris,Odds to Finish Top Three,15,0.1,0.14285714286,0.42857142859999997,0,0,-1
Canadian,Pierre Gasly,Odds to Win,14,0.007633587786259542,0.04761904762,5.238095238220001,0,0,-1
Canadian,Pierre Gasly,Odds to Finish Top Three,14,0.06666666666666667,0.14285714286,1.1428571429,0,0,-1
Canadian,Valtteri Bottas,Odds to Win,7,0.006622516556291391,0.04761904762,6.19047619062,0,0,-1
Canadian,Valtteri Bottas,Odds to Finish Top Three,7,0.05263157894736842,0.14285714286,1.7142857143400003,0,0,-1
Canadian,Fernando Alonso,Odds to Win,9,0.006622516556291391,0.04761904762,6.19047619062,0,0,-1
Canadian,Fernando Alonso,Odds to Finish Top Three,9,0.06666666666666667,0.14285714286,1.1428571429,0,0,-1
Canadian,Esteban Ocon,Odds to Win,6,0.00398406374501992,0.04761904762,10.95238095262,0,0,-1
Canadian,Esteban Ocon,Odds to Finish Top Three,6,0.05263157894736842,0.14285714286,1.7142857143400003,0,0,-1
Canadian,Esteban Ocon,Odds to Finish Top Six,6,0.2,0.28571428572,0.42857142859999997,0,0,-1
Canadian,Daniel Ricciardo,Odds to Win,11,0.00398406374501992,0.04761904762,10.95238095262,0,0,-1
