Year,Race,Driver,Bet placed,Driver race outcome,Implied probability,Estimated probability,Expected value,Bet outcome,Amount wagered,Units won,Net units won,Cumulative bankroll
2021,Monaco,Sebastian Vettel,Odds to Finish Top Six,10,0.043478260869565216,0.1584883844157203,2.645232841561567,0,15.0,0.0,-15.0,12081.906518835014
2021,Monaco,Sebastian Vettel,Odds to Finish Top Ten,10,0.273972602739726,0.3389936111372168,0.2373266806508414,1,19.0,69.35000000000001,50.35000000000001,12132.256518835015
2021,Monaco,Alexander Albon,Odds to Finish Top Six,\N,0.015151515151515152,0.03921933407355449,1.5884760488545964,0,3.0,0.0,-3.0,12129.256518835015
2021,Monaco,Nicholas Latifi,Odds to Finish Top Six,15,0.006622516556291391,0.018461740478046065,1.7877228121849558,0,1.0,0.0,-1.0,12128.256518835015
2021,Monaco,Nicholas Latifi,Odds to Finish Top Ten,15,0.05263157894736842,0.15799676089705697,2.0019384570440826,0,14.0,0.0,-14.0,12114.256518835015
2021,AbuDhabi,Max Verstappen,Odds to Win,1,0.46511627906976744,0.6035220654206729,0.29757244065444666,1,51.0,109.65,58.650000000000006,12172.906518835014
2021,AbuDhabi,Max Verstappen,Odds to Finish Top Three,1,0.7674418604651163,0.966604246277907,0.2595146239378787,1,115.0,149.84848484848484,34.848484848484844,12207.755003683498
2021,AbuDhabi,Max Verstappen,Odds to Finish Top Six,1,0.875,0.9825124514805929,0.12287137312067764,1,118.0,134.85714285714286,16.85714285714286,12224.612146540641
2021,AbuDhabi,Max Verstappen,Odds to Finish Top Ten,1,0.8888888888888888,0.9838331758683084,0.10681232285184694,1,119.0,133.875,14.875,12239.487146540641
2021,AbuDhabi,Lewis Hamilton,Odds to Finish Top Ten,18,0.8888888888888888,0.9048108535339509,0.01791221022569478,0,100.0,0.0,-100.0,12139.487146540641
2021,AbuDhabi,Charles Leclerc,Odds to Finish Top Three,2,0.425531914893617,0.4260940843493365,0.0013210982209408417,1,22.0,51.7,29.700000000000003,12169.187146540642
2021,AbuDhabi,Charles Leclerc,Odds to Finish Top Ten,2,0.875,0.9074471039979072,0.037082404569036775,1,101.0,115.42857142857143,14.42857142857143,12183.615717969213
2021,AbuDhabi,Sergio Perez,Odds to Win,3,0.06666666666666667,0.1607687268079362,1.411530902119043,0,13.0,0.0,-13.0,12170.615717969213
2021,AbuDhabi,Sergio Perez,Odds to Finish Top Three,3,0.4878048780487805,0.7768807735305749,0.5926055857376786,1,81.0,166.05,85.05000000000001,12255.665717969212
2021,AbuDhabi,Sergio Perez,Odds to Finish Top Six,3,0.8461538461538461,0.9416544681125592,0.11286437140575178,1,109.0,128.8181818181818,19.818181818181813,12275.483899787394
2021,AbuDhabi,Sergio Perez,Odds to Finish Top Ten,3,0.8666666666666667,0.9700483199742522,0.11928652304721399,1,116.0,133.84615384615384,17.84615384615384,12293.330053633548
2021,AbuDhabi,Carlos Sainz,Odds to Finish Top Three,4,0.3508771929824561,0.3708850236105602,0.05702231729009655,0,18.0,0.0,-18.0,12275.330053633548
2021,AbuDhabi,Carlos Sainz,Odds to Finish Top Ten,4,0.8666666666666667,0.9284249541296663,0.07125956245730714,1,106.0,122.3076923076923,16.307692307692307,12291.63774594124
2021,AbuDhabi,Lando Norris,Odds to Win,6,0.00398406374501992,0.0071411608067336,0.7924313624901336,0,0.0,0.0,0.0,12291.63774594124
2021,AbuDhabi,Lando Norris,Odds to Finish Top Three,6,0.047619047619047616,0.09055781774709701,0.9017141726890372,0,6.0,0.0,-6.0,12285.63774594124
2021,AbuDhabi,Esteban Ocon,Odds to Finish Top Three,7,0.024390243902439025,0.0381591751663578,0.5645261818206697,0,2.0,0.0,-2.0,12283.63774594124
2021,AbuDhabi,Esteban Ocon,Odds to Finish Top Six,7,0.2222222222222222,0.2761563695640499,0.24270366303822444,0,14.0,0.0,-14.0,12269.63774594124
2021,AbuDhabi,Sebastian Vettel,Odds to Finish Top Six,10,0.125,0.1642180784483833,0.31374462758706634,0,7.0,0.0,-7.0,12262.63774594124
2021,AbuDhabi,Sebastian Vettel,Odds to Finish Top Ten,10,0.3508771929824561,0.370251375960222,0.05521642148663286,1,18.0,51.300000000000004,33.300000000000004,12295.937745941239
2021,AbuDhabi,Daniel Ricciardo,Odds to Finish Top Six,9,0.10526315789473684,0.1326419595924811,0.26009861612857055,0,5.0,0.0,-5.0,12290.937745941239
2021,AbuDhabi,Daniel Ricciardo,Odds to Finish Top Ten,9,0.35714285714285715,0.40552219283083524,0.1354621399263387,1,24.0,67.2,43.2,12334.13774594124
2021,AbuDhabi,Mick Schumacher,Odds to Finish Top Six,16,0.034482758620689655,0.0398659993652761,0.15611398159300682,0,1.0,0.0,-1.0,12333.13774594124
2021,AbuDhabi,Nicholas Latifi,Odds to Finish Top Six,19,0.009900990099009901,0.01146033186466647,0.1574935183313133,0,0.0,0.0,0.0,12333.13774594124
2021,AbuDhabi,Nicholas Latifi,Odds to Finish Top Ten,19,0.058823529411764705,0.12733782853165998,1.1647430850382197,0,9.0,0.0,-9.0,12324.13774594124
2021,Belgian,Lewis Hamilton,Odds to Finish Top Ten,\N,0.8571428571428571,0.8972314549819981,0.04677003081233111,0,100.0,0.0,-100.0,12224.13774594124
2021,Belgian,George Russell,Odds to Finish Top Ten,4,0.8571428571428571,0.8931834073003324,0.042047308517054516,1,98.0,114.33333333333334,16.333333333333343,12240.471079274574
2021,Belgian,Carlos Sainz,Odds to Win,3,0.08333333333333333,0.2138493675249916,1.5661924102998994,0,18.0,0.0,-18.0,12222.471079274574
2021,Belgian,Carlos Sainz,Odds to Finish Top Three,3,0.47619047619047616,0.6765155061849824,0.42068256298846296,1,64.0,134.4,70.4,12292.871079274573
2021,Belgian,Carlos Sainz,Odds to Finish Top Six,3,0.7674418604651163,0.9156856213606047,0.19316611268200012,1,105.0,136.8181818181818,31.818181818181813,12324.689261092755
